"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35973.780509792","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875.517610447298","922.829449153001","916.334474798349","1011.59552439759","1065.61966514703","1210.4792652894","1247.06614429099","1482.09883711417","1581.60083598967","1660.73985617959","1873.15394552307","1913.16064354474","1937.23536529999","1926.3573363363","1944.11700479836","1980.51617731097",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217.43838007191","2243.54609643392","2091.59016394568","1574.90977920575","1578.44019323121","1797.52252456481","2019.7446171178","2144.35083043833","2208.51755904358","2227.24094072851","2277.37461138374","2349.73159560635","2620.88472318679","2698.04428458828","2948.77024821525","3550.72028414685","4202.20848390361","5128.35344973549","5743.09888126617","5718.68552313564","5778.38080340779","5911.25409210655","6110.42339175039","6403.76755557708","6591.53881963735","6631.61869398451","6440.99024209186","6388.96002177353",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2722.28034358589","1992.56052815317","1902.75127995123","2148.09995433357","2390.5310208385","2782.09373440791","3109.94334713626","2838.04492009684","3209.61537164497","3690.68298060151","4029.01697070654","4457.11163824546","4754.65369689757","5114.72169545235","5522.98213441617","5942.88400909312","6631.83568738577","7291.23975121019","8228.33710618171","8813.25200258571","9637.3453676511","10207.7646993323","10526.241215339","10570.9529979079","11259.2645003792","11334.2209323295","11559.3008437783","12020.6907323424",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6754.31506558894","6816.50612976913","7188.04389194781","7389.76646336878","7578.47560424303","7709.54066001014","8025.37978160927","8327.23876136607","8707.03267534617","8862.83785565922","9328.02644545132","9508.93913261839","9507.91389800731","9912.46491978682","10878.757176351","11594.6110187379","12391.3601888952","12981.3987665083","13672.6887107922","13575.9816626349","14064.0104925321","14444.8779242408","15333.6618720216","15703.1934698792","16011.2529287417","16337.966492506","16716.546903274","16922.1042966739",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71376.1509096463","70238.3389626642","70093.3665128091","68690.589077969","71084.6420094548","73622.3664005566","75543.4955914706","79158.208181542","76345.0408215982","75758.5673469164","81351.36413921","80029.0284384246","78934.6355195564","82099.8058045712","84604.3423041722","81736.4769237892","80841.0495149973","74271.6814492489","68508.7068152864","58822.146137623","56074.8806872444","58363.6782159597","60513.6197100592","63839.3355752011","67360.3474463876","70887.3907270642","73017.480009563","73878.4676646986",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6990.5540452718","8024.5923535332","9061.6455871977","9693.96727918434","10342.4762422745","10129.7777926836","10754.198418916","11688.7464014871","12132.5103928877","11769.1499747988","11810.0613643332","11419.0588662652","10217.2730997834","11217.5719276888","12430.7137249452","13817.7140737884","15227.5124961234","16865.5447595212","17711.4417867571","16618.1208523782","18333.5436985461","19629.3518451916","19579.0064837139","20161.4968324254","19802.1000113587","20356.9155095569","20042.5400197144","20786.6793277368",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418.86092636919","2227.66945587397","1350.10825140973","1290.47311470913","1422.70977557333","1584.60046971304","1734.65530236428","1843.37854477079","2015.10557483509","2126.91516905879","2318.23807343875","2613.78456721754","3020.45398677045","3531.9686429486","4031.94720413531","4769.48900409301","5607.6458691567","6605.21669618151","7260.96875587368","6323.57833605451","6567.25858179835","7022.10394338388","7649.49140943212","7997.38712848925","8397.09917770072","8727.55832544865","8832.76343477124","9647.48611321476",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
