Economy,Code,,Region
,,,
Afghanistan,AFG,,Central & South Asia
Albania,ALB,,Europe & North America
Algeria,DZA,,Middle East & North Africa
American Samoa,ASM,,East Asia & Pacific
Andorra,ADO,,Europe & North America
Angola,AGO,,Sub-Saharan Africa
Antigua and Barbuda,ATG,,Latin America & Caribbean
Argentina,ARG,,Latin America & Caribbean
Armenia,ARM,,Europe & North America
Aruba,ABW,,Latin America & Caribbean
Australia,AUS,,East Asia & Pacific
Austria,AUT,,Europe & North America
Azerbaijan,AZE,,Central & South Asia
"Bahamas, The",BHS,,Latin America & Caribbean
Bahrain,BHR,,Middle East & North Africa
Bangladesh,BGD,,Central & South Asia
Barbados,BRB,,Latin America & Caribbean
Belarus,BLR,,Europe & North America
Belgium,BEL,,Europe & North America
Belize,BLZ,,Latin America & Caribbean
Benin,BEN,,Sub-Saharan Africa
Bermuda,BMU,,Europe & North America
Bhutan,BTN,,Central & South Asia
Bolivia,BOL,,Latin America & Caribbean
Bosnia and Herzegovina,BIH,,Europe & North America
Botswana,BWA,,Sub-Saharan Africa
Brazil,BRA,,Latin America & Caribbean
British Virgin Islands,VGB,,Latin America & Caribbean
Brunei Darussalam,BRN,,East Asia & Pacific
Bulgaria,BGR,,Europe & North America
Burkina Faso,BFA,,Sub-Saharan Africa
Burundi,BDI,,Sub-Saharan Africa
Cabo Verde,CPV,,Sub-Saharan Africa
Cambodia,KHM,,East Asia & Pacific
Cameroon,CMR,,Sub-Saharan Africa
Canada,CAN,,Europe & North America
Cayman Islands,CYM,,Latin America & Caribbean
Central African Republic,CAF,,Sub-Saharan Africa
Chad,TCD,,Sub-Saharan Africa
Channel Islands,CHI,,Europe & North America
Chile,CHL,,Latin America & Caribbean
China,CHN,,East Asia & Pacific
Colombia,COL,,Latin America & Caribbean
Comoros,COM,,Sub-Saharan Africa
"Congo, Dem. Rep.",ZAR,,Sub-Saharan Africa
"Congo, Rep.",COG,,Sub-Saharan Africa
Costa Rica,CRI,,Latin America & Caribbean
Côte d'Ivoire,CIV,,Sub-Saharan Africa
Croatia,HRV,,Europe & North America
Cuba,CUB,,Latin America & Caribbean
Curaçao,CUW,,Latin America & Caribbean
Cyprus,CYP,,Europe & North America
Czech Republic,CZE,,Europe & North America
Denmark,DNK,,Europe & North America
Djibouti,DJI,,Middle East & North Africa
Dominica,DMA,,Latin America & Caribbean
Dominican Republic,DOM,,Latin America & Caribbean
Ecuador,ECU,,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,,Middle East & North Africa
El Salvador,SLV,,Latin America & Caribbean
Equatorial Guinea,GNQ,,Sub-Saharan Africa
Eritrea,ERI,,Sub-Saharan Africa
Estonia,EST,,Europe & North America
Ethiopia,ETH,,Sub-Saharan Africa
Faroe Islands,FRO,,Europe & North America
Fiji,FJI,,East Asia & Pacific
Finland,FIN,,Europe & North America
France,FRA,,Europe & North America
French Polynesia,PYF,,East Asia & Pacific
Gabon,GAB,,Sub-Saharan Africa
"Gambia, The",GMB,,Sub-Saharan Africa
Georgia,GEO,,Europe & North America
Germany,DEU,,Europe & North America
Ghana,GHA,,Sub-Saharan Africa
Gibraltar,GIB,,Europe & North America
Greece,GRC,,Europe & North America
Greenland,GRL,,Europe & North America
Grenada,GRD,,Latin America & Caribbean
Guam,GUM,,East Asia & Pacific
Guatemala,GTM,,Latin America & Caribbean
Guinea,GIN,,Sub-Saharan Africa
Guinea-Bissau,GNB,,Sub-Saharan Africa
Guyana,GUY,,Latin America & Caribbean
Haiti,HTI,,Latin America & Caribbean
Honduras,HND,,Latin America & Caribbean
"Hong Kong SAR, China",HKG,,East Asia & Pacific
Hungary,HUN,,Europe & North America
Iceland,ISL,,Europe & North America
India,IND,,Central & South Asia
Indonesia,IDN,,East Asia & Pacific
"Iran, Islamic Rep.",IRN,,Middle East & North Africa
Iraq,IRQ,,Middle East & North Africa
Ireland,IRL,,Europe & North America
Isle of Man,IMY,,Europe & North America
Israel,ISR,,Middle East & North Africa
Italy,ITA,,Europe & North America
Jamaica,JAM,,Latin America & Caribbean
Japan,JPN,,East Asia & Pacific
Jordan,JOR,,Middle East & North Africa
Kazakhstan,KAZ,,Central & South Asia
Kenya,KEN,,Sub-Saharan Africa
Kiribati,KIR,,East Asia & Pacific
"Korea, Dem. People's Rep.",PRK,,East Asia & Pacific
"Korea, Rep.",KOR,,East Asia & Pacific
Kosovo,KSV,,Europe & North America
Kuwait,KWT,,Middle East & North Africa
Kyrgyz Republic,KGZ,,Central & South Asia
Lao PDR,LAO,,East Asia & Pacific
Latvia,LVA,,Europe & North America
Lebanon,LBN,,Middle East & North Africa
Lesotho,LSO,,Sub-Saharan Africa
Liberia,LBR,,Sub-Saharan Africa
Libya,LBY,,Middle East & North Africa
Liechtenstein,LIE,,Europe & North America
Lithuania,LTU,,Europe & North America
Luxembourg,LUX,,Europe & North America
"Macao SAR, China",MAC,,East Asia & Pacific
"Macedonia, FYR",MKD,,Europe & North America
Madagascar,MDG,,Sub-Saharan Africa
Malawi,MWI,,Sub-Saharan Africa
Malaysia,MYS,,East Asia & Pacific
Maldives,MDV,,Central & South Asia
Mali,MLI,,Sub-Saharan Africa
Malta,MLT,,Middle East & North Africa
Marshall Islands,MHL,,East Asia & Pacific
Mauritania,MRT,,Sub-Saharan Africa
Mauritius,MUS,,Sub-Saharan Africa
Mexico,MEX,,Latin America & Caribbean
"Micronesia, Fed. Sts.",FSM,,East Asia & Pacific
