Country Name,Country Code,health_exp
Afghanistan,AFG,10.29759481
Albania,ALB,6.82443871
Algeria,DZA,7.05668786
American Samoa,ASM,
Andorra,AND,11.97477605
Angola,AGO,2.94697845
Antigua and Barbuda,ATG,4.8439976
Arab World,ARB,4.886952112207
Argentina,ARG,6.83453274
Armenia,ARM,10.14083813
Aruba,ABW,
Australia,AUS,9.44533327
Austria,AUT,10.31988167
Azerbaijan,AZE,6.67801847
"Bahamas, The",BHS,7.36430256
Bahrain,BHR,5.15597207
Bangladesh,BGD,2.63947252
Barbados,BRB,7.45704335
Belarus,BLR,6.11132497
Belgium,BEL,10.47712841
Belize,BLZ,6.21022542
Benin,BEN,3.99190103
Bermuda,BMU,
Bhutan,BTN,3.48610414
Bolivia,BOL,6.41118015
Bosnia and Herzegovina,BIH,9.38256029
Botswana,BWA,5.97091586
Brazil,BRA,8.91148377
British Virgin Islands,VGB,
Brunei Darussalam,BRN,2.62277523
Bulgaria,BGR,8.20309288
Burkina Faso,BFA,5.446772
Burundi,BDI,8.24294928
Cabo Verde,CPV,4.84722016
Cambodia,KHM,5.98226009
Cameroon,CMR,5.11302542
Canada,CAN,10.43562237
Caribbean small states,CSS,6.22077532662745
Cayman Islands,CYM,
Central African Republic,CAF,4.77627738
Central Europe and the Baltics,CEB,6.59830263328749
Chad,TCD,4.57628264
Channel Islands,CHI,
Chile,CHL,8.07108586
China,CHN,5.31586777
Colombia,COL,6.19132764
Comoros,COM,8.04626019
"Congo, Dem. Rep.",COD,4.2713599
"Congo, Rep.",COG,3.43391175
Costa Rica,CRI,8.14558457
Cote d'Ivoire,CIV,5.43583318
Croatia,HRV,7.40361536
Cuba,CUB,
Curacao,CUW,
Cyprus,CYP,6.76967432
Czech Republic,CZE,7.30822225
Denmark,DNK,10.32620701
Djibouti,DJI,4.38930145
Dominica,DMA,5.42679909
Dominican Republic,DOM,6.22404145
Early-demographic dividend,EAR,5.10276693571088
East Asia & Pacific,EAS,6.76919652758331
East Asia & Pacific (excluding high income),EAP,5.0889885912216
East Asia & Pacific (IDA & IBRD countries),TEA,5.08911154017933
Ecuador,ECU,8.5431596
"Egypt, Arab Rep.",EGY,4.17154673
El Salvador,SLV,6.91453064
Equatorial Guinea,GNQ,2.6970827
Eritrea,ERI,3.31743337
Estonia,EST,6.51253969
Eswatini,SWZ,7.04291105
Ethiopia,ETH,4.04684368
Euro area,EMU,10.1921248553401
Europe & Central Asia,ECS,9.34072212878242
Europe & Central Asia (excluding high income),ECA,5.25874873069587
Europe & Central Asia (IDA & IBRD countries),TEC,5.43276039852185
European Union,EUU,9.92603956982332
